UCUM_symbol,label_en,exact_synonym_pluralize_en,exact_synonym_non_pluralize_en,pluralize_label_en,Equivalent_UCUM_Code,definition_en,definition_source,SI_symbol,label_fr,definition_fr,label_zh,definition_zh,comment_en,SI_category,Notes
[mesh_i],mesh,,,,,,,,,,,,,,
[MET],Metabolic Equivalent of Task,,,FALSE,,,,,,,,,,,
[mi_br],British mile,imperial mile,mile - British|English statute miles,,,,,,,,,,,,
[mi_i],international mile,,,,,,,,,,,,,,
[mi_us],US mile,,mile - US|U.S. Survey Miles|US statute miles,,,,,,,,,,,,
[mil_i],international mil,,international thou,,,,,,,,,,,,
[mil_us],US mil,,mil - US,,,,,,,,,,,,
[min_br],British minim,,minim - British,FALSE,,,,,,,,,,,
[min_us],US minim,,minim - US,FALSE,,,,,,,,,,,
[MPL'U],MPL unit,,IgM anticardiolipin units|IgM Phospholipid Units,,,,,,,,,,,,
[mu_0],permeability of free space,,permeability of vacuum - magnetic|vacuum permeability|magnetic constant,FALSE,,,,,,,,,,,
[nmi_br],British nautical mile,,nautical mile - British,,,,,,,,,,,,
[nmi_i],nautical mile,international nautical mile,,,,,,,,,,,,,
[oz_ap],apothecary ounce,,apothecary ounces|ounce - apothecary,FALSE,,,,,,,,,,,
[oz_av],international ounce,avoirdupois ounce,,FALSE,,,,,,,,,,,
[oz_m],metric ounce,,ounce - metric,,,,,,,,,,,,
[oz_tr],troy ounce,,ounce - troy,,,,,,,,,,,,
[p'diop],prism diopter,prism dioptre,prism diopter (magnifying power),,,,,,,,,,,,
[pc_br],British pace,,pace - British,,,,,,,,,,,,
[pca_pr],Printer's pica,,Printer's pica (typography),,,,,,,,,,,,
[pca],pica,,pica (typography),,,,,,,,,,,,
[PFU],plaque forming unit,,,,,,,,,,,,,,
[pH],pH,,Log concentration of H+|acidity,FALSE,,,,,,,,,,,
[pi],the number pi,,,FALSE,,,,,,,,,,,
[pied],pied,,French foot,FALSE,,,,,,,,,,,
[pk_br],British peck,imperial peck,peck - British,,,,,,,,,,,,
[pk_us],US peck,,peck - US,,,,,,,,,,,,
[pnt_pr],Printer's point,,Printer's point (typography),,,,,,,,,,,,
[pnt],point,,point (typography)|DTP points|desktop publishing point,,,,,,,,,,,,
[PNU],protein nitrogen unit,,protein nitrogen unit (allergen testing),,,,,,,,,,,,
[pouce],pouce,,French inch|historical French inches|French royal inches,FALSE,,,,,,,,,,,
[ppb],parts per billion,,,FALSE,,,,,,,,,,,
[ppm],parts per million,,,FALSE,,,,,,,,,,,
[ppth],parts per thousand,,,FALSE,,,,,,,,,,,
[pptr],parts per trillion,,,FALSE,,,,,,,,,,,
[PRU],peripheral vascular resistance unit,,,,,,,,,,,,,,
[psi],pound per square inch,,,,,,,,,,,,,,
[pt_br],British pint,imperial pint,pint - British,,,,,,,,,,,,
[pt_us],US pint,,pint - US|pint US|iquid pint,,,,,,,,,,,,
